35.5435	49.2165	-51.2594	20	20
54.4633	48.3356	-44.8561	40	20
73.578	48.3723	-38.9278	60	20
92.7921	49.268	-33.4317	80	20
112.065	51.0585	-28.4054	100	20
131.343	53.7551	-23.891	120	20
150.592	57.2989	-19.8974	140	20
169.789	61.5994	-16.4004	160	20
188.918	66.564	-13.3689	180	20
30.5374	59.5849	-34.9204	20	40
49.273	58.0757	-28.1751	40	40
68.3144	57.7518	-22.0624	60	40
87.5143	58.4971	-16.494	80	40
106.788	60.4572	-11.562	100	40
126.056	63.5934	-7.3116	120	40
145.27	67.783	-3.72933	140	40
164.389	72.8245	-0.750011	160	40
183.422	78.4355	1.78109	180	40
25.703	70.5069	-18.8886	20	60
44.1588	68.1267	-11.6592	40	60
63.0711	67.2135	-5.23881	60	60
82.2339	67.7282	0.44427	80	60
101.516	69.9839	5.21192	100	60
120.75	73.9666	8.94171	120	60
139.856	79.0949	11.8573	140	60
158.852	84.8841	14.225	160	60
177.763	91.069	16.217	180	60
20.9846	81.8	-3.05565	20	80
39.7984	80.2891	-2.97013	40	80
59.6195	82.6454	-3.54536	60	80
79.2721	85.7922	-1.66404	80	80
98.6354	89.3036	1.98382	100	80
117.56	93.018	7.28913	120	80
136.092	96.8254	13.7433	140	80
154.272	100.691	21.1103	160	80
171.905	104.624	29.6737	180	80
17.5066	96.2837	-9.84596	20	100
37.332	98.7456	-10.1822	40	100
57.0251	101.803	-8.64888	60	100
76.526	105.199	-5.67707	80	100
95.6941	108.841	-1.15553	100	100
114.445	112.606	4.69827	120	100
132.895	116.425	11.3689	140	100
151.092	120.288	18.6889	160	100
168.986	124.187	26.7306	180	100
15.0418	114.849	-16.8032	20	120
34.7622	117.838	-15.5239	40	120
54.3393	121.142	-13.0103	60	120
73.7075	124.698	-9.23392	80	120
92.6717	128.416	-4.00429	100	120
111.288	132.2	2.20908	120	120
129.686	136.025	9.00244	140	120
147.888	139.886	16.3248	160	120
165.881	143.774	24.1443	180	120
12.4838	133.899	-22.286	20	140
32.1063	137.123	-20.118	40	140
51.5785	140.575	-16.9116	60	140
70.7783	144.24	-12.3853	80	140
89.5796	147.998	-6.66701	100	140
108.119	151.796	-0.231832	120	140
126.476	155.626	6.6548	140	140
144.682	159.486	13.9624	160	140
162.733	163.366	21.6503	180	140
9.85542	153.129	-27.1063	20	160
29.3871	156.506	-24.2722	40	160
48.7796	160.092	-20.4517	60	160
67.7719	163.81	-15.2729	80	160
86.4492	167.587	-9.20667	100	160
104.927	171.389	-2.65679	120	160
123.265	175.226	4.30717	140	160
141.477	179.085	11.6	160	160
159.553	182.963	19.2288	180	160
7.1693	172.46	-31.4942	20	180
26.6309	175.95	-28.1461	40	180
45.8624	179.639	-23.615	60	180
64.7005	183.393	-17.9728	80	180
83.2888	187.176	-11.7086	100	180
101.73	190.989	-5.03116	120	180
120.054	194.827	1.95953	140	180
138.271	198.685	9.23755	160	180
156.373	202.559	16.8074	180	180
